Dataset,Algorithm,K,Silhouette,Davies_Bouldin,ARI,NMI
Scaled dataset,Agglomerative,2,0.4827,0.8263,0.0047,0.0093
Scaled dataset,Agglomerative,3,0.4255,1.5412,0.0179,0.0469
Scaled dataset,Agglomerative,4,0.2455,1.7193,0.047,0.1179
Scaled dataset,Agglomerative,5,0.2132,1.9965,0.047,0.1349
Scaled dataset,Agglomerative,6,0.2151,1.7355,0.047,0.1368
Scaled dataset,Agglomerative,7,0.2214,1.7541,0.0499,0.1472
Scaled dataset,Agglomerative,8,0.2415,1.6374,0.064,0.1906
Scaled dataset,Agglomerative,9,0.1715,1.8898,0.0966,0.2105
Scaled dataset,Agglomerative,10,0.1732,1.7956,0.0968,0.2121
Scaled dataset,Agglomerative,11,0.1747,1.7473,0.0969,0.2138
Scaled dataset,Agglomerative,12,0.1721,1.7041,0.0974,0.2171
PCA dataset,Agglomerative,2,0.4949,0.8028,0.0028,0.0056
PCA dataset,Agglomerative,3,0.4907,0.9454,0.0093,0.0439
PCA dataset,Agglomerative,4,0.294,1.2859,0.032,0.1141
PCA dataset,Agglomerative,5,0.2875,1.1169,0.032,0.1157
PCA dataset,Agglomerative,6,0.2779,1.3698,0.0386,0.1387
PCA dataset,Agglomerative,7,0.2823,1.3106,0.0519,0.1887
PCA dataset,Agglomerative,8,0.2144,1.5902,0.0648,0.1936
PCA dataset,Agglomerative,9,0.157,1.8698,0.0936,0.208
PCA dataset,Agglomerative,10,0.1582,1.8686,0.1019,0.2349
PCA dataset,Agglomerative,11,0.1592,1.803,0.1021,0.2361
PCA dataset,Agglomerative,12,0.1566,1.751,0.104,0.2425
