Dataset,Algorithm,Covariance,K,BIC,AIC,Silhouette,Davies_Bouldin,ARI,NMI
Scaled dataset,GMM,diag,2,908628.83,901902.15,0.4816,0.8202,0.0041,0.009
Scaled dataset,GMM,diag,3,793806.73,783713.9,0.277,1.3092,0.0294,0.1044
Scaled dataset,GMM,diag,4,606334.4,592875.44,0.2617,1.7085,0.0595,0.1425
Scaled dataset,GMM,diag,5,496258.87,479433.76,0.1765,2.0983,0.0796,0.1561
Scaled dataset,GMM,diag,6,398672.35,378481.1,0.2153,2.1782,0.0752,0.1705
Scaled dataset,GMM,diag,7,359730.41,336173.01,0.1675,2.5114,0.0794,0.1617
Scaled dataset,GMM,diag,8,321988.16,295064.63,0.1406,2.2185,0.0889,0.1889
Scaled dataset,GMM,diag,9,314166.7,283877.02,0.1618,1.9395,0.0877,0.1893
Scaled dataset,GMM,diag,10,264666.95,231011.13,0.1565,2.068,0.0951,0.1986
Scaled dataset,GMM,diag,11,239644.16,202622.2,0.1391,2.3774,0.0959,0.2049
Scaled dataset,GMM,diag,12,191850.43,151462.32,0.128,2.3801,0.1083,0.2305
Scaled dataset,GMM,diag,13,187562.01,143807.76,0.1354,2.4246,0.1044,0.2267
Scaled dataset,GMM,diag,14,181159.83,134039.43,0.1297,2.4912,0.0998,0.2195
PCA dataset,GMM,diag,2,249421.72,248071.91,0.2129,1.848,0.0328,0.0622
PCA dataset,GMM,diag,3,227551.52,225523.99,0.1665,4.3618,0.0387,0.0638
PCA dataset,GMM,diag,4,227237.0,224531.76,0.164,3.7377,0.0388,0.0652
PCA dataset,GMM,diag,5,216015.25,212632.3,0.0092,5.5783,0.0389,0.0791
PCA dataset,GMM,diag,6,210360.18,206299.52,-0.014,3.688,0.0593,0.1094
PCA dataset,GMM,diag,7,204718.56,199980.2,-0.0123,4.1453,0.0476,0.0947
PCA dataset,GMM,diag,8,197941.73,192525.66,0.0016,4.3675,0.0465,0.101
PCA dataset,GMM,diag,9,194833.34,188739.56,-0.0839,4.8261,0.0487,0.0967
PCA dataset,GMM,diag,10,190360.83,183589.33,-0.0796,4.4485,0.0528,0.1226
PCA dataset,GMM,diag,11,191685.06,184235.86,-0.0762,3.6163,0.0519,0.1224
PCA dataset,GMM,diag,12,191379.09,183252.18,-0.0746,3.6809,0.0523,0.1254
PCA dataset,GMM,diag,13,190966.96,182162.34,-0.0686,3.3394,0.0542,0.1298
PCA dataset,GMM,diag,14,189987.15,180504.82,-0.0658,3.3168,0.0525,0.1333
